     time_period  economy_id theta_n theta
   1           1           1   3.5265805889608899     
   1           1           2  -2.0720120226153802     
   1           1           3 -0.27152048912769999     
   1           1           4  0.55168592105296299     
   1           1           5  -7.1790341759027904E-002
   1           1           6 -0.38090578624051202     
   1           1           7  0.52906878844620298     
   1           1           8 -0.12887978275013201     
   1           1           9   2.0934960614102800     
   1           1          10   5.3715105211041996     
   1           1          11  0.81029377021673199     
   1           1          12   7.1236515090867698     
   1           1          13 -0.69407532463088895     
   1           1          14  -2.6004517007167500     
   1           1          15  -5.4966231791896902     
   1           1          16  -5.8882824314572604     
   1           1          17  -7.1814683062315199     
   1           1          18  0.81429729184602695     
   1           1          19   29.549215797854099     
   1           1          20   11.132581278192500     
   1           1          21  0.27501301082611401     
   1           1          22  -8.9994795669554303E-002
   1           1          23   33.973109182808500     
   1           1          24   36.094180163706298     
   1           1          25   37.788416227440500     
   1           1          26   42.334972042486200     
   1           1          27   48.199733478646600     
   1           1          28   53.980564202983501     
   1           1          29   5.5996405954430202     
   1           1          30   17.856148032338201     
   1           1          31   17.467173426427301     
   1           1          32   31.042814540435700     
   1           1          33   26.553302278777501     
   1           1          34   9.3941990911839302     
   1           1          35   10.670916778708900     
   1           1          36   14.228009856082901     
   1           1          37   20.973904716376399     
   1           1          38   29.690064453635902     
   1           1          39   37.499634418679399     
   1           1          40   17.774820187612200     
   1           1          41  -28.722843014743351     
   1           1          42  -48.435432566039502     
   1           1          43   1226.3568700178200     
   1           1          44   552.20930031743501     
   1           1          45  -37.945759762970802     
   1           1          46  -7.8865749208674698     
   1           1          47  -504.08377801850901     
   1           1          48   506.47501351866498     
   1           1          49   48.562733099634301     
   1           1          50   44.393522306892400     
   1           1          51   8.4014113854039696     
   1           1          52   26.375317745291600     
   1           1          53   31.961530549483399     
   1           1          54   8.0202906187093408     
   1           1          55   54.775552570262697     
   1           1          56   39.981065363170003     
   1           1          57  0.44643629126650097     
   1           1          58   44.956824883431800     
   1           1          59   24.852192828659600     
   1           1          60   5.0393270986534304     
   1           1          61   326.73958742077798     
   1           1          62   278.85061827579199     
   1           2           1   3.5301840168000100     
   1           2           2  -2.0766245612737300     
   1           2           3 -0.27141236321183698     
   1           2           4  0.35144153533925399     
   1           2           5  -7.1989310719141206E-002
   1           2           6 -0.38412005014552503     
   1           2           7  0.52962083143473804     
   1           2           8 -0.12797222577325901     
   1           2           9   2.0871347485549498     
   1           2          10   8.7163132940094705     
   1           2          11  0.80415227689068802     
   1           2          12   7.0696589204625200     
   1           2          13 -0.69521287705224799     
   1           2          14  -2.5929059817790701     
